('INTERNALID','ROUTES_161'),
('X03440','39'),
('X03270','39'),
('X03290','39'),
('X03320','39'),
('X03330','39'),
('X03040','39'),
('X03390','39'),
('S70597','60'),
('S70596','60'),
('E10950','52L'),
('E10950','53L'),
('E10950','61C'),
('E10950','61D'),
('E10950','64'),
('E10970','52L'),
('E10970','53L'),
('E10970','57'),
('E10970','61C'),
('E10970','61D'),
('E10970','64'),
('N11980','2'),
('N11980','12'),
('N12010','2'),
('N12010','12'),
('N12020','2'),
('N12020','12'),
('N12060','2'),
('N12060','12'),
('S09630','51'),
('S09340','54'),
('S09700','51'),
('S08160','Y47'),
('S08170','Y47'),
('S08190','Y47'),
('S08140','51'),
('S08140','54'),
('S08210','51'),
('S08220','51'),
('S08220','51L'),
